Article title,Authors,Journal title,Volume,Issue,Pages,Volume year,DOI,Published online date,URL,Article views (as of 24-Jan-2026),Crossref citations (as of 24-Jan-2026)
"How Strong Is Europeanisation, Really? The Danish Defence Administration and the Opt-Out from the European Security and Defence Policy",Gorm Rye Olsen,Perspectives on European Politics and Society,12,1,p13 - p28,2011,10.1080/15705854.2011.546141,04-Apr-2011,https://doi.org/10.1080/15705854.2011.546141,653.0,8.0
Country survey X: Defence spending in Turkey,Selami Sezgin,Defence and Peace Economics,8,4,p381 - p409,1997,10.1080/10430719708404887,19-Oct-2007,https://doi.org/10.1080/10430719708404887,470.0,54.0
Australia's strategic outlook and defence policy,Gordon Scholes,Australian Outlook,38,3,p137 - p141,1984,10.1080/10357718408444851,20-Mar-2008,https://doi.org/10.1080/10357718408444851,80.0,0.0
Readiness Through International Cooperation: Finnish Defence Industrial Strategy in Changing Operational Environment from the Mid-1990s to the Early 2020s,"Esa Mangeloja, Heikki Roiko-Jokela, Tapio Roiko-Jokela",Defence and Peace Economics,36,6,p930 - p944,2025,10.1080/10242694.2024.2385392,27-Aug-2024,https://doi.org/10.1080/10242694.2024.2385392,1527.0,0.0
Confronting the European Defence Crisis,"Ferdi Akaltin, Henrik Heidenkamp",The RUSI Journal,157,2,p18 - p25,2012,10.1080/03071847.2012.681598,19-Apr-2012,https://doi.org/10.1080/03071847.2012.681598,977.0,0.0
World War II prime defence contractors: Were they favoured?,Fred R Kaen,Business History,53,7,p1044 - p1073,2011,10.1080/00076791.2011.582576,01-Sep-2011,https://doi.org/10.1080/00076791.2011.582576,401.0,3.0
Ballistic missile defence: The allied dimension,S Orman,The RUSI Journal,140,6,p23 - p27,1995,10.1080/03071849508445968,20-Mar-2008,https://doi.org/10.1080/03071849508445968,16.0,0.0
What news of European defence?,Alyson J K Bailes,The RUSI Journal,143,5,p11 - p15,1998,10.1080/03071849808446302,20-Mar-2008,https://doi.org/10.1080/03071849808446302,35.0,1.0
Ten Trends in Capability Planning for Defence and Security,Stephan de Spiegeleire,The RUSI Journal,156,5,p20 - p28,2011,10.1080/03071847.2011.626270,31-Oct-2011,https://doi.org/10.1080/03071847.2011.626270,1932.0,29.0
Product-service system affordability in defence and aerospace industries: state-of-the-art and current industrial practice,"Oyetola Opeyemi Bankole, Kalyan Cheruvu, Terry Johns, Rajkumar Roy, Essam Shehab",International Journal of Computer Integrated Manufacturing,25,4-5,p398 - p416,2012,10.1080/0951192x.2011.576271,29-Jul-2011,https://doi.org/10.1080/0951192x.2011.576271,602.0,19.0
The future of the defence firm in small and medium countries,WALLY STRUYS,Defence and Peace Economics,15,6,p551 - p564,2004,10.1080/1024269042000246648,25-Jan-2007,https://doi.org/10.1080/1024269042000246648,440.0,21.0
Landscapes of defence,"John R Gold, George Revill",Landscape Research,24,3,p229 - p239,1999,10.1080/01426399908706561,25-Feb-2007,https://doi.org/10.1080/01426399908706561,466.0,7.0
Paradoxes of parliamentarization in European security and defence: when politicization and integration undercut parliamentary capital,Anna Herranz-Surrallés,Journal of European Integration,41,1,p29 - p45,2019,10.1080/07036337.2018.1551388,28-Nov-2018,https://doi.org/10.1080/07036337.2018.1551388,3612.0,20.0
Legitimising Proactivity: Japan's Use of the FOIP in Defence Export Policy,Shahana Thankachan,Strategic Analysis,,,p1 - p14,5187,10.1080/09700161.2025.2604369,20-Jan-2026,https://doi.org/10.1080/09700161.2025.2604369,8.0,0.0
Defence Spending and Income Inequality in Taiwan,Yemane Wolde-Rufael,Defence and Peace Economics,27,6,p871 - p884,2016,10.1080/10242694.2014.886436,14-Mar-2014,https://doi.org/10.1080/10242694.2014.886436,837.0,25.0
The strategic defence review- British policy options,Malcolm Chalmers,The RUSI Journal,142,4,p36 - p38,1997,10.1080/03071849708446166,20-Mar-2008,https://doi.org/10.1080/03071849708446166,77.0,0.0
Are we serious about missile defence?,"E Fox, S Orman",The RUSI Journal,141,3,p23 - p27,1996,10.1080/03071849608446027,20-Mar-2008,https://doi.org/10.1080/03071849608446027,13.0,0.0
"Advancing ""Defence-in-depth"": intelligence and systems dynamics",Adam D M Svendsen,Defense & Security Analysis,31,1,p58 - p73,2015,10.1080/14751798.2014.995337,25-Mar-2015,https://doi.org/10.1080/14751798.2014.995337,2292.0,5.0
The Biden administration's first defence budget,,Strategic Comments,27,4,piv - pvi,2021,10.1080/13567888.2021.1945778,18-Jun-2021,https://doi.org/10.1080/13567888.2021.1945778,156.0,0.0
Australian defence policy and the concept of self-reliance,Stephan Frühling,Australian Journal of International Affairs,68,5,p531 - p547,2014,10.1080/10357718.2014.899310,14-May-2014,https://doi.org/10.1080/10357718.2014.899310,5016.0,5.0
Nodal defence: the changing structure of U.S. alliance systems in Europe and East Asia,"Alexander Lanoszka, Hugo Meijer, Luis Simón",Journal of Strategic Studies,44,3,p360 - p388,2021,10.1080/01402390.2019.1636372,29-Jul-2019,https://doi.org/10.1080/01402390.2019.1636372,4303.0,21.0
"EU security and defence cooperation in times of dissent: analysing PESCO, the European Defence Fund and the European Intervention Initiative (EI2) in the shadow of Brexit","Simon Sweeney, Neil Winn",Defence Studies,20,3,p224 - p249,2020,10.1080/14702436.2020.1778472,16-Jun-2020,https://doi.org/10.1080/14702436.2020.1778472,5574.0,29.0
US MISSILE DEFENCE EFFORTS AND CHINESE RESERVATIONS IN EAST ASIA,Christian Alwardt,Asian Affairs,51,3,p605 - p620,2020,10.1080/03068374.2020.1802964,02-Sep-2020,https://doi.org/10.1080/03068374.2020.1802964,384.0,0.0
Nuclear biological and chemical defence,"A G Vicary, J Wilson",The RUSI Journal,126,4,p7 - p12,1981,10.1080/03071848108523386,10-Jun-2008,https://doi.org/10.1080/03071848108523386,15.0,1.0
Shared territorial defence in the suboscine Aphrastura spinicauda,"Silvina Ippi, Ilenia Lazzoni, Rodrigo A Vásquez, Wouter F D van Dongen",Emu - Austral Ornithology,117,1,p97 - p102,2017,10.1080/01584197.2016.1265429,01-Feb-2017,https://doi.org/10.1080/01584197.2016.1265429,725.0,7.0
ASEAN: The stirring of a regional defence industrial base?,John Taylor,The RUSI Journal,139,1,p61 - p64,1994,10.1080/03071849408445789,20-Mar-2008,https://doi.org/10.1080/03071849408445789,23.0,0.0
Defending democracy: investigating the efficacy of elite democratic defence in a competitive information environment,"Maurits J Meijers, Joep van Lit",West European Politics,,,p1 - p34,5187,10.1080/01402382.2025.2525601,08-Jul-2025,https://doi.org/10.1080/01402382.2025.2525601,1501.0,1.0
UK defence spending- trends and implications,Michael Asteris,The RUSI Journal,139,5,p38 - p71,1994,10.1080/03071849408445855,20-Mar-2008,https://doi.org/10.1080/03071849408445855,50.0,0.0
COUNTRY SURVEY XX: DEFENCE SPENDING AND PEACEKEEPING IN URUGUAY,Amílcar Andrés Peláez,Defence and Peace Economics,18,3,p281 - p302,2007,10.1080/10242690600924679,13-Apr-2007,https://doi.org/10.1080/10242690600924679,179.0,6.0
India-Africa defence cooperation against the backdrop of the 'Make in India' initiative,Sanjiv Ranjan,African Security Review,25,4,p407 - p419,2016,10.1080/10246029.2016.1225586,21-Nov-2016,https://doi.org/10.1080/10246029.2016.1225586,465.0,1.0
Strategic hedging in Indonesia's defense diplomacy,Iis Gindarsah,Defense & Security Analysis,32,4,p336 - p353,2016,10.1080/14751798.2016.1233695,27-Sep-2016,https://doi.org/10.1080/14751798.2016.1233695,2314.0,15.0
A ministry for the defence industries?,Tony Edwards,The RUSI Journal,139,3,p26 - p31,1994,10.1080/03071849408445818,20-Mar-2008,https://doi.org/10.1080/03071849408445818,17.0,2.0
Biotechnology and Biodefense Enterprise: An Industry Perspective on Defence Acquisition,"Donna Boston, Eric Du, Gene Olinger, Kenneth B Yeh","Global Security: Health, Science and Policy",7,1,p37 - p43,2022,10.1080/23779497.2022.2102527,27-Jul-2022,https://doi.org/10.1080/23779497.2022.2102527,2574.0,3.0
Identifying the challenges to defence reform in Central and Eastern Europe: observations from the field,"Glen Grant, Vladimir Milenski",Defense & Security Analysis,34,2,p191 - p209,2018,10.1080/14751798.2018.1478182,17-Jun-2018,https://doi.org/10.1080/14751798.2018.1478182,261.0,2.0
Defence Healthcare Engagement: A UK Military Perspective to Improve Healthcare Leadership and Quality of Care Overseas,"Douglas M Bowley, David N Naumann, Simon Tallowin",Journal of Healthcare Leadership,13,,p27 - p34,2021,10.2147/jhl.s224906,29-Jan-2021,https://doi.org/10.2147/jhl.s224906,597.0,8.0
A survey of the Greek defence industry,"Christos Kollias, Apostolos Rafailidis",Defence and Peace Economics,14,4,p311 - p324,2003,10.1080/10242690302927,17-Sep-2010,https://doi.org/10.1080/10242690302927,219.0,10.0
"Australian defence planning, force structure and equipment: The American effect",Ross Babbage,Australian Outlook,38,3,p163 - p168,1984,10.1080/10357718408444856,20-Mar-2008,https://doi.org/10.1080/10357718408444856,99.0,2.0
Between ambition and constraint: Spain's defence planning from the democratic transition to capability-based planning (1977-2005),Guillem Colom-Piella,European Security,,,p1 - p22,5187,10.1080/09662839.2025.2596009,15-Dec-2025,https://doi.org/10.1080/09662839.2025.2596009,107.0,0.0
Technology transfer and defence sector dynamics: the case of the Netherlands,"Francesco Giumelli, Mustafa Ali Sezal",European Security,31,4,p558 - p575,2022,10.1080/09662839.2022.2028277,01-Feb-2022,https://doi.org/10.1080/09662839.2022.2028277,7170.0,12.0
The strategic defence review: How much? How far? How joint is enough?,Michael Codner,The RUSI Journal,143,4,p5 - p10,1998,10.1080/03071849808446280,20-Mar-2008,https://doi.org/10.1080/03071849808446280,133.0,0.0
"Defence procurement: Past, present and future",Jonathan MP Aitken,The RUSI Journal,139,1,p39 - p42,1994,10.1080/03071849408445784,20-Mar-2008,https://doi.org/10.1080/03071849408445784,35.0,2.0
A Shield for Europe: Reviving the European Defence Community,Federico Fabbrini,Survival,67,1,p55 - p60,2025,10.1080/00396338.2025.2459016,07-Feb-2025,https://doi.org/10.1080/00396338.2025.2459016,785.0,0.0
Why is there no Joint European Remotely Piloted Aircraft System Project under the Common Security and Defence Policy?,Christian Küsters,The RUSI Journal,163,2,p52 - p65,2018,10.1080/03071847.2018.1475625,18-Jun-2018,https://doi.org/10.1080/03071847.2018.1475625,279.0,1.0
Air defence of the central region,Peter RAF Millar,The RUSI Journal,139,5,p51 - p56,1994,10.1080/03071849408445857,20-Mar-2008,https://doi.org/10.1080/03071849408445857,21.0,0.0
The European defence plans: Filling the transatlantic gaps,Daniel Keohane,The International Spectator,38,3,p61 - p77,2003,10.1080/03932720308457037,29-Apr-2008,https://doi.org/10.1080/03932720308457037,95.0,1.0
Foreign posture in comparative perspective: a quantitative and qualitative appraisal of Italian foreign and defence policy during the Renzi Government,"Andrea Dessì, Francesco Olmastroni",Contemporary Italian Politics,9,2,p201 - p218,2017,10.1080/23248823.2017.1338447,19-Jun-2017,https://doi.org/10.1080/23248823.2017.1338447,314.0,3.0
Defense planning when major changes are needed,Paul K Davis,Defence Studies,18,3,p374 - p390,2018,10.1080/14702436.2018.1497444,07-Aug-2018,https://doi.org/10.1080/14702436.2018.1497444,1240.0,9.0
Specialization in defence forces,UGURHAN G BERKOK,Defence and Peace Economics,16,3,p191 - p204,2005,10.1080/10242690500123356,22-Aug-2006,https://doi.org/10.1080/10242690500123356,190.0,3.0
European defence and security: The British approach,Alyson J Bailes,The RUSI Journal,140,6,p6 - p10,1995,10.1080/03071849508445965,20-Mar-2008,https://doi.org/10.1080/03071849508445965,28.0,0.0
Medicine and the manic defence,Paul Schimmel,Australian and New Zealand Journal of Psychiatry,32,3,p392 - p397,1998,10.3109/00048679809065532,11-May-2010,https://doi.org/10.3109/00048679809065532,6.0,1.0
Scientometric Analysis of the Relationship between Expenditure on Defence and Economic Growth: Current Situation and Future Perspectives,"Alfredo Arahuetes García, Aurora García Domonte, Paula Gómez-Trueba Santamaría",Defence and Peace Economics,34,8,p1071 - p1090,2023,10.1080/10242694.2022.2091191,27-Jun-2022,https://doi.org/10.1080/10242694.2022.2091191,307.0,4.0
Europe's Defence Dilemma,Mette Eilstrup-Sangiovanni,The International Spectator,49,2,p83 - p116,2014,10.1080/03932729.2014.910728,03-Jul-2014,https://doi.org/10.1080/03932729.2014.910728,1678.0,9.0
Biological warfare and biological defence in the United Kingdom 1940-1979,G B ISO Carter,The RUSI Journal,137,6,p67 - p74,1992,10.1080/03071849208445664,20-Mar-2008,https://doi.org/10.1080/03071849208445664,73.0,6.0
Contributions Published in Strategic Analysis in 2013,,Strategic Analysis,38,1,p138 - p147,2014,10.1080/09700161.2014.863515,12-Feb-2014,https://doi.org/10.1080/09700161.2014.863515,88.0,0.0
The management of Defence research,D L I Kirkpatrick,The RUSI Journal,137,3,p22 - p26,1992,10.1080/03071849208445600,20-Mar-2008,https://doi.org/10.1080/03071849208445600,9.0,1.0
The challenges in buyer-supplier relationship for technological absorption capability in international defence acquisition: the case of Southeast Asia,"Kogila Balakrishnan, Zsolt Lazar",Defense & Security Analysis,38,3,p317 - p335,2022,10.1080/14751798.2022.2093460,29-Aug-2022,https://doi.org/10.1080/14751798.2022.2093460,355.0,1.0
Defence in transition: Options for change,David Bolton,The RUSI Journal,136,3,p1 - p3,1991,10.1080/03071849108445524,20-Mar-2008,https://doi.org/10.1080/03071849108445524,23.0,1.0
"Defense inflation: what has happened, why has it happened, and what can be done about it?","Mark V Arena, Edward G Keating",Defence and Peace Economics,27,2,p176 - p183,2016,10.1080/10242694.2015.1093760,22-Oct-2015,https://doi.org/10.1080/10242694.2015.1093760,836.0,7.0
Yemen's Defence Structure: Hybridity and Patronage after the State,Eleonora Ardemagni,Journal of Arabian Studies,10,1,p72 - p89,2020,10.1080/21534764.2020.1791308,15-Feb-2021,https://doi.org/10.1080/21534764.2020.1791308,333.0,0.0
"Interdependence, asymmetric crises, and European defence cooperation",Pierre Haroche,European Security,26,2,p226 - p252,2017,10.1080/09662839.2017.1294579,01-Mar-2017,https://doi.org/10.1080/09662839.2017.1294579,2356.0,15.0
On the Council for the Defence,Ela Ghandi,Agenda,10,22,p96 - p99,1994,10.1080/10130950.1994.9675358,20-Apr-2011,https://doi.org/10.1080/10130950.1994.9675358,3.0,0.0
Budget Crunch: Implications for European Defence,Bastian Giegerich,Survival,52,4,p87 - p98,2010,10.1080/00396338.2010.506826,21-Jul-2010,https://doi.org/10.1080/00396338.2010.506826,758.0,8.0
India's Defence Expenditure: A Trend Analysis,"Laxman Kumar Behera, Pabitra Mohan Nayak",Strategic Analysis,45,5,p395 - p410,2021,10.1080/09700161.2021.1965343,27-Aug-2021,https://doi.org/10.1080/09700161.2021.1965343,625.0,1.0
European defence policy at a crossroads - Germany preserving the status quo and France seeking change?,Matthew David Huntley,European Politics and Society,23,2,p173 - p188,2022,10.1080/23745118.2020.1855710,08-Dec-2020,https://doi.org/10.1080/23745118.2020.1855710,1173.0,8.0
Innovation intermediation in total defence: the case of Combitech in Sweden,"Wayne Stephen Coetzee, Aaron Ladestam",Defense & Security Analysis,,,p1 - p23,5187,10.1080/14751798.2025.2597617,09-Dec-2025,https://doi.org/10.1080/14751798.2025.2597617,399.0,0.0
A Review of Market Failures in the Defence Industry,Carlos Martí Sempere,Defence and Peace Economics,31,6,p642 - p658,2020,10.1080/10242694.2019.1581981,17-Feb-2019,https://doi.org/10.1080/10242694.2019.1581981,951.0,7.0
Towards control and effectiveness: The Ministry of Defence and civil-military relations in India,Anit Mukherjee,Journal of Strategic Studies,45,6-7,p820 - p842,2022,10.1080/01402390.2022.2118115,12-Sep-2022,https://doi.org/10.1080/01402390.2022.2118115,9516.0,5.0
Economists and defence: The views of a UK practitioner,Frank Cooper,Defence Economics,1,1,p75 - p84,1990,10.1080/10430719008404651,19-Oct-2007,https://doi.org/10.1080/10430719008404651,39.0,3.0
Doctoral defence formats,Eva O L Lantsoght,Studies in Higher Education,48,2,p343 - p355,2023,10.1080/03075079.2022.2137123,20-Oct-2022,https://doi.org/10.1080/03075079.2022.2137123,5362.0,8.0
Offsets as industrial policy: Lessons from aerospace,"Keith E Maskus, Bernard Udis",Defence Economics,2,2,p151 - p164,1991,10.1080/10430719108404687,19-Oct-2007,https://doi.org/10.1080/10430719108404687,82.0,26.0
NATO missile defence: The political and operational case for a two-base structure,"Stephan Frühling, Svenja Sinjen",The RUSI Journal,151,6,p58 - p61,2006,10.1080/03071840608522859,11-Jun-2008,https://doi.org/10.1080/03071840608522859,72.0,0.0
European defence: The cost of partial integration,"Marc Guyot, Radu Vranceanu",Defence and Peace Economics,12,2,p157 - p174,2001,10.1080/10430710108404982,19-Oct-2007,https://doi.org/10.1080/10430710108404982,190.0,4.0
